VMUE	VMSS
19.41	5.22
18.79	5.41
14.78	4.20
16.74	7.11
20.05	7.31
14.86	8.46
15.98	6.99
11.73	8.49
13.31	18.77
21.35	23.46
21.81	27.41
21.84	33.56
20.49	42.68
26.38	39.37
20.69	42.45
22.40	41.32
32.55	39.91
24.56	32.21
32.54	35.48
40.54	38.10
34.39	35.43
24.91	31.83
19.50	21.77
25.21	28.09
22.75	22.80
22.70	30.01
30.90	28.71
26.99	30.45
27.53	33.92
26.68	36.49
24.84	32.51
25.70	27.25
25.00	31.88
25.79	34.29
25.29	32.51
25.14	34.23
29.60	36.12
29.10	53.34
23.66	37.46
24.36	30.29
30.20	32.75
8.94	12.07
15.81	12.16
4.65	14.79
8.88	17.13
14.00	16.33
9.00	12.73
5.86	11.89
5.19	11.31
7.10	10.18
5.26	8.90
10.81	11.29
9.61	13.64
16.83	20.12
18.29	26.07
18.80	23.47
18.14	31.00
21.58	33.46
26.65	30.81
25.00	32.13
26.10	29.59
18.13	28.54
22.03	27.97
18.73	26.61
18.96	33.37
22.85	29.25
15.23	28.00
13.43	26.75
11.00	25.78
17.96	23.34
13.58	20.17
14.44	21.07
15.83	25.39
14.04	25.53
14.51	19.22
16.46	20.95
12.35	20.19
14.09	18.48
11.80	17.19
7.03	14.48
5.91	21.55
7.91	15.57
2.11	12.57
4.38	13.13
17.54	12.19
8.08	14.33
8.63	13.60
7.23	11.07
4.74	14.12
9.61	16.41
40.19	17.38
35.61	18.79
17.15	20.92
10.86	18.92
12.58	19.98
8.45	12.83
10.01	13.31
8.24	14.09
14.61	12.10
11.35	14.36
13.33	19.47
17.05	21.80
17.86	27.89
18.46	33.54
19.56	40.70
26.84	40.18
27.10	38.82
26.41	39.28
28.79	39.51
31.09	43.18
26.13	39.93
23.90	35.21
27.64	40.53
22.76	36.99
17.45	36.80
26.11	34.78
29.63	24.11
31.60	18.86
25.53	41.74
92.96	50.79
163.70	46.11
35.10	41.72
24.23	39.66
23.70	38.03
24.03	37.93
23.11	41.25
31.44	41.87
29.29	39.55
26.18	38.54
29.91	41.46
33.78	42.92
33.66	39.16
33.73	35.10
27.58	31.03
25.69	29.12
22.71	27.19
25.48	22.74
15.24	22.73
19.26	24.93
19.61	25.45
24.31	23.80
23.54	21.32
21.13	19.32
24.99	18.89
16.03	15.78
17.24	13.04
15.09	11.81
15.91	14.46
18.63	11.79
12.33	11.12
15.50	14.55
12.04	15.21
19.93	17.78
14.99	19.41
6.71	18.95
15.98	19.17
20.56	17.85
10.89	17.16
16.23	19.80
14.16	19.91
10.19	18.93
15.00	20.45
8.53	18.73
17.86	15.90
16.05	16.78
10.88	18.08
13.44	14.89
7.25	15.35
9.79	15.04
7.85	13.57
10.64	16.57
0.06	16.27
8.99	16.08
4.56	13.85
5.64	13.77
6.46	27.19
5.03	20.21
13.25	17.36
4.48	14.59
5.60	12.99
12.09	12.75
3.64	15.99
6.78	17.86
13.30	15.16
9.51	12.42
7.74	19.43
3.18	14.79
12.15	17.70
8.99	18.28
8.09	16.79
10.39	19.32
9.83	15.46
15.20	16.44
5.38	17.86
17.10	19.48
18.04	23.50
16.34	28.30
15.51	30.01
18.80	28.36
24.29	31.75
21.60	33.46
24.63	35.26
31.30	40.21
27.00	42.72
28.50	45.30
25.88	39.82
19.15	33.64
15.38	34.06
15.14	31.32
23.14	38.05
26.79	30.56
32.06	36.83
26.78	36.81
23.24	37.56
31.15	42.84
32.01	37.06
25.78	42.92
31.89	45.05
30.56	46.09
32.39	54.50
36.86	58.30
29.90	51.57
34.69	52.83
32.74	46.95
31.01	40.73
27.70	42.29
28.48	42.38
21.11	33.45
23.84	31.94
23.53	30.34
17.71	26.68
22.21	23.21
14.53	22.95
9.95	21.95
13.70	22.95
18.04	25.53
14.03	20.69
12.48	18.90
13.48	19.04
14.75	19.43
16.30	21.40
21.36	20.44
16.51	20.95
15.55	20.75
15.68	20.50
17.34	20.26
13.35	22.27
16.78	19.95
19.80	20.81
23.11	21.13
18.46	22.04
16.81	28.03
16.26	40.37
21.99	44.12
31.09	49.10
31.96	54.17
41.50	61.72
43.84	63.45
30.79	62.70
48.19	68.39
61.08	63.75
57.23	62.30
51.36	61.02
50.96	58.89
48.06	46.62
46.14	41.47
42.08	39.34
39.20	36.60
37.19	38.27
35.53	35.21
30.46	35.54
35.34	35.56
32.41	30.06
25.31	31.48
24.20	29.28
24.96	23.35
22.90	17.33
11.93	14.97
12.81	13.20
15.78	12.94
10.38	8.98
16.90	21.18
4.00	22.92
16.53	22.24
20.44	22.59
22.39	23.22
15.28	23.97
19.70	23.25
18.45	22.98
16.58	22.68
21.05	21.49
21.59	20.19
25.55	23.28
23.59	22.62
14.54	31.74
21.43	36.46
23.50	31.92
21.48	34.94
24.99	42.37
25.54	44.77
27.66	43.36
21.54	42.08
25.46	42.17
24.25	41.10
25.13	43.64
26.75	40.14
27.08	38.10
28.60	38.00
28.20	34.22
23.93	39.11
24.11	38.42
20.35	43.06
26.49	42.41
18.00	47.65
19.24	47.19
26.31	44.86
22.44	32.36
26.39	39.57
24.25	34.46
24.55	36.68
27.80	29.18
23.48	25.83
24.34	18.86
21.70	15.30
24.14	16.48
26.56	11.77
28.24	14.98
20.64	19.31
20.98	18.78
25.69	18.89
19.84	19.40
26.65	16.16
32.34	16.26
26.35	20.12
30.71	20.79
26.64	21.40
32.09	17.44
23.91	19.80
13.49	24.44
20.49	23.78
13.98	23.18
20.26	27.99
24.68	32.18
19.65	32.05
18.96	36.28
24.50	36.59
22.59	41.29
30.38	42.10
32.39	37.53
27.74	39.56
26.88	41.79
28.28	36.98
30.95	37.33
30.53	39.51
25.03	37.58
25.50	33.63
27.08	36.15
26.43	41.64
31.60	33.91
30.49	32.19
24.59	32.32
28.13	32.99
25.39	33.29
20.81	34.52
25.59	36.09
31.11	37.85
29.85	37.28
26.44	35.41
17.84	35.02
23.96	32.03
21.34	30.89
18.83	28.56
20.90	30.20
15.06	33.86
13.14	32.08
14.36	26.82
25.94	25.12
25.28	25.30
15.85	26.67
21.44	24.75
12.18	26.02
18.43	24.47
18.90	26.22
15.58	26.99
10.95	18.36
13.13	9.82
13.55	8.27
19.80	15.27
20.39	24.51
18.21	26.85
18.56	28.13
21.28	25.56
17.59	23.70
18.73	25.01
27.48	36.36
15.71	48.18
28.16	47.72
26.00	39.61
16.63	44.67
20.11	43.35
24.50	40.22
27.66	38.12
15.10	36.13
24.20	37.96
24.79	34.50
28.43	36.14
21.06	44.92
18.10	38.96
9.51	36.33
8.54	31.03
7.11	27.68
9.74	32.41
7.16	41.15
9.59	38.93
15.28	41.38
13.00	31.78
15.90	27.16
10.88	31.72
17.81	26.57
15.20	21.97
22.98	25.23
20.20	20.26
28.69	21.17
23.80	25.88
20.05	28.63
24.36	31.96
22.05	35.56
22.38	26.24
30.23	18.01
25.39	15.59
32.23	10.70
35.99	5.05
36.24	10.43
40.49	13.65
32.70	21.16
29.41	24.63
24.00	23.67
29.23	29.56
32.18	30.67
35.06	28.37
27.53	28.33
33.65	26.12
25.64	28.70
27.83	30.37
35.10	32.32
24.68	35.02
26.53	37.50
27.11	42.36
27.09	50.28
23.74	45.40
31.73	36.27
26.66	32.31
25.56	29.13
25.80	29.86
29.03	19.78
26.10	23.31
25.44	36.99
27.96	24.24
29.75	23.81
29.40	26.57
28.24	27.90
24.14	23.85
20.50	24.40
10.33	26.18
4.25	21.73
11.43	25.02
23.90	23.66
24.71	21.30
28.45	27.49
30.51	27.29
32.90	31.02
35.81	31.12
28.23	29.79
17.90	25.10
17.11	26.22
24.44	27.01
24.81	21.30
24.39	18.51
21.04	18.17
25.50	16.63
24.33	19.68
